Nombre;Apellidos;Género;Carné;Correo;Notas;Estado
Daniel;Kahola Morrissette;Masculino;2025019952;dkahola9952@estudiantec.cr;(37, 78, 20, 44.75, 44.75);Reprobado
Jorge;Díaz Mora;Masculino;2024033686;jdiaz3686@estudiantec.cr;(90, 9, 18, 38.79, 38.79);Reprobado
Laura;Castro Pérez;Femenino;2022057845;lcastro7845@estudiantec.cr;(5, 57, 50, 37.46, 37.46);Reprobado
Gabriela;Mora Castro;Masculino;2022059532;gmora9532@estudiantec.cr;(29, 6, 48, 27.87, 27.87);Reprobado
Elena;Ramírez Ramírez;Femenino;2022045831;eramirez5831@estudiantec.cr;(66, 3, 27, 31.95, 31.95);Reprobado
José;Vargas Solano;Masculino;2024041420;jvargas1420@estudiantec.cr;(10, 8, 97, 38.92, 38.92);Reprobado
Andrés;Mora Ramírez;Masculino;2021053152;amora3152@estudiantec.cr;(67, 88, 24, 59.31, 59.31);Reprobado
Carlos;Morales Díaz;Femenino;2025014721;cmorales4721@estudiantec.cr;(61, 60, 49, 56.59, 56.59);Reprobado
Ana;Rivera Ramírez;Femenino;2020062895;arivera2895@estudiantec.cr;(38, 11, 99, 49.83, 49.83);Reprobado
Camila;Rivera Rojas;Femenino;2020046284;crivera6284@estudiantec.cr;(2, 67, 3, 23.79, 23.79);Reprobado
Valeria;Flores Rojas;Masculino;2024056163;vflores6163@estudiantec.cr;(3, 36, 85, 41.77, 41.77);Reprobado
Laura;Flores Torres;Masculino;2022052540;lflores2540@estudiantec.cr;(57, 24, 60, 47.13, 47.13);Reprobado
Laura;Vargas Morales;Femenino;2023052601;lvargas2601@estudiantec.cr;(67, 27, 93, 62.64, 62.64);Reposición
María;Acosta Morales;Masculino;2022030120;macosta0120@estudiantec.cr;(32, 4, 78, 38.4, 38.4);Reprobado
Fernando;Rojas Rivera;Femenino;2023010378;frojas0378@estudiantec.cr;(19, 99, 56, 57.98, 57.98);Reprobado
Luis;González González;Femenino;2025019425;lgonzalez9425@estudiantec.cr;(11, 46, 93, 50.43, 50.43);Reprobado
Jorge;Martínez Rodríguez;Femenino;2023063321;jmartinez3321@estudiantec.cr;(4, 38, 100, 47.86, 47.86);Reprobado
Elena;Rodríguez Torres;Femenino;2024015483;erodriguez5483@estudiantec.cr;(45, 56, 8, 36.05, 36.05);Reprobado
Sofía;Rojas Mora;Masculino;2021069746;srojas9746@estudiantec.cr;(54, 84, 99, 79.2, 79.2);Aprovado
Manuel;Acosta Sánchez;Femenino;2020050740;macosta0740@estudiantec.cr;(29, 78, 62, 56.39, 56.39);Reprobado
Jorge;Flores Vargas;Masculino;2023050173;jflores0173@estudiantec.cr;(72, 94, 23, 62.6, 62.6);Reposición
Valeria;Chaves Morales;Masculino;2020044635;vchaves4635@estudiantec.cr;(41, 19, 28, 29.32, 29.32);Reprobado
Lucía;Castro Díaz;Femenino;2024032319;lcastro2319@estudiantec.cr;(40, 24, 92, 52.4, 52.4);Reprobado
Sofía;Sánchez Ramírez;Femenino;2022047562;ssanchez7562@estudiantec.cr;(41, 13, 19, 24.28, 24.28);Reprobado
Miguel;Rivera Morales;Masculino;2024052044;mrivera2044@estudiantec.cr;(81, 10, 17, 35.81, 35.81);Reprobado
Manuel;Pérez Pérez;Femenino;2021055648;mperez5648@estudiantec.cr;(77, 86, 44, 68.75, 68.75);Reposición
Fernando;González Navarro;Femenino;2020016888;fgonzalez6888@estudiantec.cr;(31, 7, 15, 17.64, 17.64);Reprobado
Paula;Ramírez Díaz;Femenino;2023023687;pramirez3687@estudiantec.cr;(69, 4, 53, 42.11, 42.11);Reprobado
José;Rojas Morales;Femenino;2023018344;jrojas8344@estudiantec.cr;(74, 66, 45, 61.5, 61.5);Reposición
Valeria;Rivera Rojas;Masculino;2021017216;vrivera7216@estudiantec.cr;(99, 64, 18, 59.91, 59.91);Reprobado
Fernando;Rojas Solano;Femenino;2024062406;frojas2406@estudiantec.cr;(35, 89, 53, 58.94, 58.94);Reprobado
Gabriela;Solano Gómez;Masculino;2021053966;gsolano3966@estudiantec.cr;(71, 24, 8, 34.07, 34.07);Reprobado
José;Ramírez Martínez;Masculino;2025015016;jramirez5016@estudiantec.cr;(46, 100, 86, 77.42, 77.42);Aprovado
Fernando;Solano Flores;Femenino;2023065267;fsolano5267@estudiantec.cr;(21, 52, 45, 39.39, 39.39);Reprobado
Pedro;Pérez Chaves;Masculino;2023042355;pperez2355@estudiantec.cr;(46, 58, 82, 62.2, 62.2);Reposición
Elena;Morales Rojas;Masculino;2025020123;emorales0123@estudiantec.cr;(71, 87, 29, 62.0, 62.0);Reposición
Daniel;Martínez Torres;Femenino;2025050768;dmartinez0768@estudiantec.cr;(32, 48, 56, 45.44, 45.44);Reprobado
Sofía;Morales Rodríguez;Femenino;2023011285;smorales1285@estudiantec.cr;(97, 27, 10, 44.32, 44.32);Reprobado
Ana;Vargas Sánchez;Femenino;2021013292;avargas3292@estudiantec.cr;(88, 31, 100, 73.27, 73.27);Aprovado
Pedro;Navarro Martínez;Masculino;2020021009;pnavarro1009@estudiantec.cr;(93, 26, 53, 57.29, 57.29);Reprobado
Paula;Flores Martínez;Masculino;2021013809;pflores3809@estudiantec.cr;(30, 14, 59, 34.58, 34.58);Reprobado
José;Ramírez Acosta;Masculino;2023055294;jramirez5294@estudiantec.cr;(29, 27, 58, 38.2, 38.2);Reprobado
Paula;Flores Martínez;Masculino;2020030473;pflores0473@estudiantec.cr;(79, 32, 2, 37.31, 37.31);Reprobado
Laura;Ramírez Torres;Masculino;2023039689;lramirez9689@estudiantec.cr;(72, 49, 44, 54.89, 54.89);Reprobado
Lucía;Chaves Castro;Femenino;2022012290;lchaves2290@estudiantec.cr;(36, 80, 52, 55.96, 55.96);Reprobado
María;Sánchez Rojas;Masculino;2021022752;msanchez2752@estudiantec.cr;(82, 57, 52, 63.55, 63.55);Reposición
Fernando;Vargas González;Femenino;2025058637;fvargas8637@estudiantec.cr;(78, 26, 13, 38.74, 38.74);Reprobado
Lucía;Gómez Morales;Masculino;2024038551;lgomez8551@estudiantec.cr;(24, 68, 48, 46.68, 46.68);Reprobado
Elena;Ramírez Navarro;Femenino;2020056465;eramirez6465@estudiantec.cr;(16, 92, 91, 66.58, 66.58);Reposición
Valeria;Díaz Ramírez;Masculino;2025056063;vdiaz6063@estudiantec.cr;(75, 27, 89, 63.92, 63.92);Reposición
Sofía;Sánchez Morales;Masculino;2025065359;ssanchez5359@estudiantec.cr;(98, 41, 76, 71.71, 71.71);Aprovado
Daniel;Kahola Morrissette;Masculino;2021058355;dkahola8355@estudiantec.cr;(12, 88, 35, 44.9, 44.9);Reprobado
Jorge;Díaz Mora;Masculino;2023011421;jdiaz1421@estudiantec.cr;(3, 42, 28, 24.37, 24.37);Reprobado
Laura;Castro Pérez;Femenino;2022050780;lcastro0780@estudiantec.cr;(36, 65, 77, 59.51, 59.51);Reprobado
Gabriela;Mora Castro;Masculino;2024069189;gmora9189@estudiantec.cr;(12, 2, 100, 38.62, 38.62);Reprobado
Elena;Ramírez Ramírez;Femenino;2023028235;eramirez8235@estudiantec.cr;(56, 56, 46, 52.6, 52.6);Reprobado
José;Vargas Solano;Masculino;2023049766;jvargas9766@estudiantec.cr;(24, 58, 17, 32.84, 32.84);Reprobado
Andrés;Mora Ramírez;Masculino;2025057404;amora7404@estudiantec.cr;(64, 18, 74, 52.22, 52.22);Reprobado
Carlos;Morales Díaz;Femenino;2020069987;cmorales9987@estudiantec.cr;(46, 60, 38, 47.9, 47.9);Reprobado
Ana;Rivera Ramírez;Femenino;2023069245;arivera9245@estudiantec.cr;(15, 18, 100, 44.89, 44.89);Reprobado
Camila;Rivera Rojas;Femenino;2024031471;crivera1471@estudiantec.cr;(6, 52, 27, 28.32, 28.32);Reprobado
Valeria;Flores Rojas;Masculino;2025049884;vflores9884@estudiantec.cr;(3, 86, 95, 61.67, 61.67);Reposición
Laura;Flores Torres;Masculino;2021040051;lflores0051@estudiantec.cr;(46, 53, 98, 65.99, 65.99);Reposición
Laura;Vargas Morales;Femenino;2023028420;lvargas8420@estudiantec.cr;(23, 6, 26, 18.41, 18.41);Reprobado
María;Acosta Morales;Masculino;2025018851;macosta8851@estudiantec.cr;(9, 65, 46, 40.06, 40.06);Reprobado
Fernando;Rojas Rivera;Femenino;2023068575;frojas8575@estudiantec.cr;(43, 65, 68, 58.76, 58.76);Reprobado
Luis;González González;Femenino;2024055839;lgonzalez5839@estudiantec.cr;(100, 16, 85, 67.18, 67.18);Reposición
Jorge;Martínez Rodríguez;Femenino;2025066157;jmartinez6157@estudiantec.cr;(16, 79, 4, 32.71, 32.71);Reprobado
Elena;Rodríguez Torres;Femenino;2023037170;erodriguez7170@estudiantec.cr;(30, 57, 81, 56.25, 56.25);Reprobado
Sofía;Rojas Mora;Masculino;2020056285;srojas6285@estudiantec.cr;(77, 55, 12, 47.64, 47.64);Reprobado
Manuel;Acosta Sánchez;Femenino;2023037232;macosta7232@estudiantec.cr;(26, 26, 27, 26.34, 26.34);Reprobado
Jorge;Flores Vargas;Masculino;2021047951;jflores7951@estudiantec.cr;(3, 4, 20, 9.11, 9.11);Reprobado
Valeria;Chaves Morales;Masculino;2024010764;vchaves0764@estudiantec.cr;(52, 94, 67, 70.96, 70.96);Aprovado
Lucía;Castro Díaz;Femenino;2022027285;lcastro7285@estudiantec.cr;(18, 54, 11, 27.5, 27.5);Reprobado
Sofía;Sánchez Ramírez;Femenino;2022017590;ssanchez7590@estudiantec.cr;(5, 41, 78, 41.7, 41.7);Reprobado
Miguel;Rivera Morales;Masculino;2022034258;mrivera4258@estudiantec.cr;(64, 84, 66, 71.28, 71.28);Aprovado
Manuel;Pérez Pérez;Femenino;2024057344;mperez7344@estudiantec.cr;(66, 3, 50, 39.77, 39.77);Reprobado
Fernando;González Navarro;Femenino;2024057669;fgonzalez7669@estudiantec.cr;(30, 83, 10, 40.69, 40.69);Reprobado
Paula;Ramírez Díaz;Femenino;2021034263;pramirez4263@estudiantec.cr;(1, 100, 17, 39.11, 39.11);Reprobado
José;Rojas Morales;Femenino;2024044002;jrojas4002@estudiantec.cr;(95, 26, 25, 48.43, 48.43);Reprobado
Valeria;Rivera Rojas;Masculino;2022031287;vrivera1287@estudiantec.cr;(85, 25, 96, 68.94, 68.94);Reposición
